case_group,n,final_accuracy_mean,final_accuracy_std,final_f1_mean,final_f1_std,avg_accuracy_mean,avg_accuracy_std,avg_f1_mean,avg_f1_std,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std,final_communication_mb_mean,final_communication_mb_std,avg_communication_mb_mean,avg_communication_mb_std,final_avg_forward_ms_mean,final_avg_forward_ms_std,avg_forward_ms_mean,avg_forward_ms_std,final_upload_serialize_ms_mean,final_upload_serialize_ms_std,avg_upload_serialize_ms_mean,avg_upload_serialize_ms_std,final_weight_compute_ms_mean,final_weight_compute_ms_std,avg_weight_compute_ms_mean,avg_weight_compute_ms_std,final_aggregate_ms_mean,final_aggregate_ms_std,avg_aggregate_ms_mean,avg_aggregate_ms_std
success_alpha0p1_ratio0p3_strength5p0,1,0.0,0.0,0.25,0.0,0.15,0.0,0.2,0.0,2.0036587059497832,0.0,1.6042961278123702,0.0,1.0,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1478.0757353873923,0.0,1515.5191806610674,0.0,2.501173410564661,0.0,3.4238984808325768,0.0,0.3516371361911297,0.0,0.4427182488143444,0.0,0.6690588779747486,0.0,4.3305096216499805,0.0
success_alpha0p1_ratio0p3_strength8p0,1,0.0,0.0,0.25,0.0,0.15,0.0,0.2,0.0,2.1839711248874663,0.0,3.323778215355538,0.0,1.0,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1167.750025051646,0.0,1460.5619142996147,0.0,1.744875218719244,0.0,2.8385506942868233,0.0,0.24334900081157684,0.0,0.38084518164396286,0.0,0.48824492841959,0.0,3.4006533212959766,0.0
success_alpha0p1_ratio0p5_strength2p0,1,0.25,0.0,0.5,0.0,0.25,0.0,0.45,0.0,1.8929415345191956,0.0,0.9547102577969983,0.0,0.38,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1457.8884670045227,0.0,1652.0255634794012,0.0,2.4306979030370712,0.0,3.030943311750889,0.0,0.36294199526309967,0.0,0.37408964708447456,0.0,0.6371638737618923,0.0,3.648198675364256,0.0
success_alpha0p1_ratio0p5_strength5p0,1,0.25,0.0,0.5,0.0,0.25,0.0,0.45,0.0,2.113080954551697,0.0,1.446234836837252,0.0,1.0,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1172.9534422047436,0.0,1372.9373700683936,0.0,1.5081698074936867,0.0,1.8977087922394276,0.0,0.22616516798734665,0.0,0.23182164877653122,0.0,0.4500453360378742,0.0,2.5021275505423546,0.0
success_alpha0p1_ratio0p5_strength8p0,1,0.25,0.0,0.5,0.0,0.25,0.0,0.45,0.0,2.4613931596279146,0.0,2.8626067401303517,0.0,1.0,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1456.4293612493202,0.0,1559.2144559603184,0.0,2.2567668929696083,0.0,2.3502922616899014,0.0,0.3145802766084671,0.0,0.2883216366171837,0.0,0.6250320002436638,0.0,2.6096858084201813,0.0
success_alpha1p0_ratio0p1_strength2p0,1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.8763600945472718,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,910.8988608932123,0.0,937.2174436924979,0.0,1.696024090051651,0.0,2.2409132681787014,0.0,0.2179727889597416,0.0,0.26458315551280975,0.0,0.4844130016863346,0.0,2.543627191334963,0.0
success_alpha1p0_ratio0p1_strength5p0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.8712369978427887,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1129.7792898258194,0.0,1094.4043219788,0.0,1.7168070189654827,0.0,2.4732258170843124,0.0,0.22038398310542107,0.0,0.3141491673886776,0.0,0.4758690483868122,0.0,2.733431849628687,0.0
success_alpha1p0_ratio0p1_strength8p0,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.8693340361118316,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,845.2705880627036,0.0,951.9130986882374,0.0,1.6941307112574577,0.0,2.1316721104085445,0.0,0.2172929234802723,0.0,0.3528039902448654,0.0,0.4637851379811764,0.0,2.0785873755812645,0.0
success_alpha1p0_ratio0p3_strength2p0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.0,1.8542209565639496,0.0,0.5376774790988216,0.0,0.44,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,897.6959645515308,0.0,943.9650784712285,0.0,1.7014099285006523,0.0,2.0330723375082016,0.0,0.21802913397550583,0.0,0.25571295991539955,0.0,0.4532798193395138,0.0,2.0026778802275658,0.0
success_alpha1p0_ratio0p3_strength5p0,1,0.0,0.0,0.25,0.0,0.2,0.0,0.15,0.0,1.8696923524141311,0.0,1.8865247561380236,0.0,0.6,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,976.099502062425,0.0,1009.7288087941706,0.0,1.322037074714899,0.0,2.3405933752655983,0.0,0.19249506294727325,0.0,0.3059718757867813,0.0,0.36274874582886696,0.0,2.5668801739811897,0.0
